name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
Bradley,Jed,605152,bradj002,bradlje01,13166,2016.0,2016.0
Barrios,Manuel,110625,barrm002,barrima01,1000605,1997.0,1998.0
Martin,Frank,118336,martf102,martifr01,1008165,1897.0,1899.0
Browne,Byron,111603,browb101,brownby01,1001500,1965.0,1972.0
Jackson,John,800935,jackj702,,-1,,
Daringer,Rolla,113051,darir101,darinro01,1002986,1914.0,1915.0
Caligiuri,Fred,111880,calif101,caligfr01,1001836,1941.0,1942.0
Hernández,Liván,115817,hernl003,hernali01,1116,1996.0,2012.0
Kelly,W. H.,-1,,kellywh01,-1,1941.0,1941.0
Korcheck,Steve,117263,korcs101,korchst01,1007111,1954.0,1959.0
Cook,R. F.,-1,cookw901,,-1,,
Snyder,Pop,122501,snydp101,snydepo01,1012254,1873.0,1891.0
West,Edward,-1,westu901,,-1,,
Suck,Tony,122925,suckt101,suckto01,1012667,1883.0,1884.0
Knudson,Mark,117218,knudm001,knudsma01,1007065,1985.0,1993.0
Sadler,Casey,594987,sadlc002,sadleca02,11209,2014.0,2021.0
Helf,Hank,115724,helfh101,helfha01,1005611,1938.0,1946.0
Ohka,Tomo,219594,ohkat001,ohkato01,788,1999.0,2009.0
Scott,Jack,121937,scotj101,scottja01,1011683,1916.0,1929.0
Littleton,Larry,117827,littl101,littlla01,1007666,1981.0,1981.0
Ringolsby,Tracy,553832,ringt701,,-1,,
Miller,Owen,680911,millo002,milleow01,24655,2021.0,2024.0
Lewis,Mark,117740,lewim001,lewisma01,1007585,1991.0,2001.0
Asencio,Miguel,407900,asenm001,asencmi01,586,2002.0,2006.0
Edman,Tommy,669242,edmat001,edmanto01,19470,2019.0,2023.0
Thomas,Kite,123254,thomk101,thomaki01,1012982,1952.0,1953.0
Vásquez,Jorge,430655,vasqj001,vasqujo01,2221,2004.0,2005.0
Brady,Neal,111361,bradn101,bradyne01,1001329,1915.0,1925.0
